domain,packet_count,avg_packet_size,dns_count,context,passive_score
educacao.mg.gov.br,9992,1187.45,81,general,85.15,85.15
eeva.fi,1955,733.26,85,general,92.1,92.1
egatekstil.com,18113,1269.6,25,general,82.21,82.21
ekepis.gr,1082,731.4,57,general,91.45,91.45
electronichouse.com,9330,1092.22,63,general,86.79,86.79
elitebookiecrew.com,32414,1250.42,51,high_traffic,77.17,77.17
embassy.si,203,229.51,43,dns_heavy,80.66,80.66
emprendedorimbatible.com,3080,830.75,111,general,90.69,90.69
empyreaneventsfw.com,574,359.9,57,general,83.89,83.89
emsnow.com,3395,1006.17,66,general,86.35,86.35
enavak.com,8580,1217.29,75,general,83.84,83.84
engagementhq.com,332,324.19,24,general,82.59,82.59
enortia.cz,386,484.34,36,general,86.34,86.34
enter.kg,580,623.11,36,general,89.52,89.52
epipi.cz,11467,1087.75,183,general,89.22,89.22
ersupalermo.it,1186,701.24,57,general,91.76,91.76
escortsdeseo.com,3817,863.46,113,general,90.28,90.28
espplus.com,6708,826.79,105,general,92.17,92.17
esuni.jp,292,332.76,54,dns_heavy,83.13,83.13
ev32.com,35826,1270.35,36,high_traffic,75.16,75.16
everumonline.ru,1051,720.01,72,general,91.87,91.87
exam4pdf.com,2567,682.04,124,general,92.71,92.71
exprpt.com,35926,1263.76,90,high_traffic,75.93,75.93
f1pro.ru,4850,938.26,89,general,88.74,88.74
fablabbcn.org,9590,1130.86,132,general,86.87,86.87
facebook.com,969,689.3,65,general,91.51,81.3
fanexpohq.com,8802,950.01,300,general,92.64,92.64
farmaciabrito.com.br,2357,666.48,162,general,92.74,92.74
fastconnect.id,1803,694.85,78,general,92.13,92.13
fastly.net,3096,840.25,147,general,90.92,80.68
fbcdn.net,2571,1040.21,54,general,85.11,80.27
featureshoot.com,11160,1100.04,211,general,89.16,89.16
feed-v2.com,3226,1132.89,33,general,83.05,83.05
feishang.net,19938,1223.01,153,general,84.07,84.07
feueron.de,1203,814.45,36,general,89.38,89.38
fielmann.cloud,519,346.66,33,general,83.28,83.28
filipinawebcams.com,9732,1177.76,68,general,85.1,85.1
findtreatment.gov,8677,1071.06,132,general,87.84,87.84
findzima.com,23747,1264.46,90,general,80.84,80.84
fingent.net,3927,658.33,57,general,91.91,91.91
fishforums.net,6873,1216.05,63,general,83.03,83.03
fitasc.com,738,400.17,57,general,84.86,84.86
fito.by,3414,1122.11,66,general,83.77,83.77
flysfo.com,3494,775.61,207,general,93.26,93.26
forbiddenhaven.com,22086,1283.06,36,general,80.44,80.44
forumromanum.com,612,573.59,57,general,88.68,88.68
forwardmovement.org,1616,590.82,93,general,89.91,89.91
foumovies4u.com,14231,1146.59,39,general,86.7,86.7
fredericton.ca,1728,865.85,72,general,88.89,88.89
fsmi.wiki,3206,1142.79,27,general,82.75,82.75
ftvlive.com,10434,954.55,180,general,91.74,91.74
ftyrqg.com,211,276.44,48,dns_heavy,81.77,81.77
fullsizebronco.com,6349,683.99,333,general,96.2,96.2
fursaw.xyz,383,282.68,33,general,81.79,81.79
futwiz.com,35756,1276.61,81,high_traffic,75.6,75.6
gac.ru,25148,1201.84,48,general,81.16,81.16
gamecore.com,1923,919.71,66,general,87.69,87.69
gandi.net,813,665.82,54,general,90.79,80.63
gapsc.com,648,277.57,75,general,82.3,82.3
garasiseru.life,9337,1244.71,36,general,83.06,83.06
gatesfx.com,2266,875.51,72,general,88.89,88.89
gaziyd.com,779,421.82,59,general,85.38,85.38
gazzettino.it,4414,977.33,201,general,89.05,89.05
gentside.com,2173,846.55,135,general,90.26,90.26
